Date,High,Low,Open,Close,Volume,Adj Close
02-01-2020,75.15000153,73.79750061,74.05999756,75.08750153,135480400,73.98846436
03-01-2020,75.14499664,74.125,74.28749847,74.35749817,146322800,73.26914978
06-01-2020,74.98999786,73.1875,73.44750214,74.94999695,118387200,73.85298157
07-01-2020,75.22499847,74.37000275,74.95999908,74.59750366,108872000,73.50565338
08-01-2020,76.11000061,74.29000092,74.29000092,75.79750061,132079200,74.68807983
09-01-2020,77.60749817,76.55000305,76.80999756,77.40750122,170108400,76.27451324
10-01-2020,78.16750336,77.0625,77.65000153,77.58249664,140644800,76.44693756
13-01-2020,79.26750183,77.78749847,77.91000366,79.23999786,121532000,78.08017731
14-01-2020,79.39250183,78.04250336,79.17500305,78.16999817,161954400,77.02585602
15-01-2020,78.875,77.38749695,77.96250153,77.83499908,121923600,76.69576263
16-01-2020,78.92500305,78.02249908,78.39749908,78.80999756,108829200,77.65649414
17-01-2020,79.68499756,78.75,79.06749725,79.68250275,137816400,78.51622772
21-01-2020,79.75499725,79,79.29750061,79.14250183,110843200,77.98410797
22-01-2020,79.99749756,79.32749939,79.64499664,79.42500305,101832400,78.26248932
23-01-2020,79.88999939,78.91249847,79.48000336,79.80750275,104472000,78.63938904
24-01-2020,80.83249664,79.37999725,80.0625,79.57749939,146537600,78.41275024
27-01-2020,77.94249725,76.22000122,77.51499939,77.23750305,161940000,76.10700989
28-01-2020,79.59999847,78.04750061,78.15000153,79.42250061,162234000,78.2600174
29-01-2020,81.96250153,80.34500122,81.11250305,81.08499908,216229200,79.89819336
30-01-2020,81.02249908,79.6875,80.13500214,80.96749878,126743200,79.7824173
31-01-2020,80.66999817,77.07250214,80.23249817,77.37750244,199588400,76.24495697
03-02-2020,78.37249756,75.55500031,76.07499695,77.16500092,173788400,76.03556061
04-02-2020,79.91000366,78.40750122,78.82749939,79.71250153,136616400,78.54577637
05-02-2020,81.19000244,79.73750305,80.87999725,80.36250305,118826800,79.18626404
06-02-2020,81.30500031,80.06500244,80.64250183,81.30249786,105425600,80.11250305
07-02-2020,80.84999847,79.5,80.59249878,80.00749969,117684000,79.0235672
10-02-2020,80.38749695,78.46250153,78.54499817,80.38749695,109348800,79.39888763
11-02-2020,80.97499847,79.67749786,80.90000153,79.90249634,94323200,78.91984558
12-02-2020,81.80500031,80.36750031,80.36750031,81.80000305,113730400,80.79402161
13-02-2020,81.55500031,80.83750153,81.04750061,81.21749878,94747600,80.21868134
14-02-2020,81.49500275,80.71250153,81.18499756,81.23750305,80113600,80.23843384
18-02-2020,79.9375,78.65249634,78.83999634,79.75,152531200,78.76922607
19-02-2020,81.14250183,80,80,80.90499878,93984000,79.91002655
20-02-2020,81.16249847,79.55249786,80.65750122,80.07499695,100566000,79.09021759
21-02-2020,80.11250305,77.625,79.65499878,78.26249695,129554000,77.30002594
24-02-2020,76.04499817,72.30750275,74.31500244,74.54499817,222195200,73.62823486
25-02-2020,75.63249969,71.53250122,75.23750305,72.01999664,230673600,71.13428497
26-02-2020,74.47000122,71.625,71.63249969,73.16249847,198054800,72.26274109
27-02-2020,71.5,68.23999786,70.27500153,68.37999725,320605600,67.53905487
28-02-2020,69.60250092,64.09249878,64.31500244,68.33999634,426510000,67.49954224
02-03-2020,75.36000061,69.43000031,70.56999969,74.70249939,341397200,73.78379822
03-03-2020,76,71.44999695,75.91750336,72.33000183,319475600,71.44047546
04-03-2020,75.84999847,73.28250122,74.11000061,75.68499756,219178400,74.75421906
05-03-2020,74.88749695,72.85250092,73.87999725,73.23000336,187572800,72.32940674
06-03-2020,72.70500183,70.30750275,70.5,72.25749969,226176800,71.3688736
09-03-2020,69.52249908,65.75,65.9375,66.54250336,286744800,65.72416687
10-03-2020,71.61000061,67.34249878,69.28500366,71.33499908,285290000,70.45771027
11-03-2020,70.30500031,67.96499634,69.34750366,68.85749817,255598800,68.01068878
12-03-2020,67.5,62,63.98500061,62.05749893,418474000,61.29430771
13-03-2020,69.98000336,63.23749924,66.22250366,69.49250031,370732000,68.63787842
16-03-2020,64.76999664,60,60.48749924,60.55250168,322423600,59.80781937
17-03-2020,64.40249634,59.59999847,61.87749863,63.21500015,324056000,62.43757248
18-03-2020,62.5,59.27999878,59.94250107,61.66749954,300233600,60.90910339
19-03-2020,63.20999908,60.65250015,61.84749985,61.19499969,271857200,60.44241333
20-03-2020,62.95750046,57,61.79499817,57.31000137,401693200,56.60520172
23-03-2020,57.125,53.15250015,57.02000046,56.09249878,336752800,55.402668
24-03-2020,61.92250061,58.57500076,59.09000015,61.72000122,287531200,60.96096802
25-03-2020,64.5625,61.07500076,62.6875,61.38000107,303602000,60.62514114
26-03-2020,64.66999817,61.59000015,61.63000107,64.61000061,252087200,63.81542206
27-03-2020,63.96749878,61.76250076,63.1875,61.93500137,204216800,61.17332077
30-03-2020,63.88000107,62.34999847,62.68500137,63.70249939,167976400,62.91907883
31-03-2020,65.62249756,63,63.90000153,63.57249832,197002000,62.79068375
01-04-2020,62.18000031,59.78250122,61.625,60.22750092,176218400,59.48681641
02-04-2020,61.28749847,59.22499847,60.08499908,61.23249817,165934000,60.47946167
03-04-2020,61.42499924,59.74250031,60.70000076,60.35250092,129880000,59.61027908
06-04-2020,65.77749634,62.34500122,62.72499847,65.61750031,201820400,64.81053162
07-04-2020,67.92500305,64.75,67.69999695,64.85749817,202887200,64.05986786
08-04-2020,66.84249878,65.30750275,65.68499756,66.51750183,168895200,65.69946289
09-04-2020,67.51750183,66.17500305,67.17500305,66.99749756,161834800,66.17355347
